,국가별수출입 실적,국가명,수출건수,수출금액
3598,2021.12,스리랑카,"               1,051","              27,904"
3599,2022.01,스리랑카,                 881,"              24,803"
3600,2022.02,스리랑카,                 780,"              17,860"
3601,2022.03,스리랑카,                 887,"              22,679"
3602,2022.04,스리랑카,                 659,"              19,392"
3603,2022.05,스리랑카,                 580,"              15,419"
3604,2022.06,스리랑카,                 727,"              15,786"
3605,2022.07,스리랑카,                 562,"              15,854"
3606,2020.07,스발비드 군도,                   0,                   0
3607,2022.03,스발비드 군도,                   0,                   0
3608,2022.04,스발비드 군도,                   0,                   0
3609,2022.06,스발비드 군도,                   0,                   0
3610,2020.01,스와질랜드,                  10,                  73
3611,2020.02,스와질랜드,                  18,                 214
3612,2020.03,스와질랜드,                  12,                 198
3613,2020.04,스와질랜드,                  11,                 129
3614,2020.05,스와질랜드,                  10,                 287
3615,2020.06,스와질랜드,                  13,                 154
3616,2020.07,스와질랜드,                  16,                 307
3617,2020.08,스와질랜드,                  13,                  28
3618,2020.09,스와질랜드,                  18,                  87
3619,2020.10,스와질랜드,                  16,                 114
3620,2020.11,스와질랜드,                   9,                  68
3621,2020.12,스와질랜드,                  20,                 104
3622,2021.01,스와질랜드,                  19,                  89
3623,2021.02,스와질랜드,                  12,                  64
3624,2021.03,스와질랜드,                  12,                  94
3625,2021.04,스와질랜드,                  10,                  29
3626,2021.05,스와질랜드,                  11,                  78
3627,2021.06,스와질랜드,                  17,                 444
3628,2021.07,스와질랜드,                  10,                  72
3629,2021.08,스와질랜드,                  10,                 158
3630,2021.09,스와질랜드,                  11,                 568
3631,2021.10,스와질랜드,                  16,"               1,005"
3632,2021.11,스와질랜드,                  21,                 353
3633,2021.12,스와질랜드,                  13,                 169
3634,2022.01,스와질랜드,                   9,                  57
3635,2022.02,스와질랜드,                  14,                 352
3636,2022.03,스와질랜드,                  14,                  68
3637,2022.04,스와질랜드,                  20,                 443
3638,2022.05,스와질랜드,                  22,                 644
3639,2022.06,스와질랜드,                  17,                 127
3640,2022.07,스와질랜드,                  10,                  78
3641,2020.01,스웨덴,"               1,173","              66,921"
3642,2020.02,스웨덴,"               1,354","              57,240"
3643,2020.03,스웨덴,"               1,342","              57,771"
3644,2020.04,스웨덴,"               1,201","              61,586"
3645,2020.05,스웨덴,                 994,"              66,458"
3646,2020.06,스웨덴,"               1,148","              97,532"
3647,2020.07,스웨덴,"               1,172","              63,749"
3648,2020.08,스웨덴,"               1,114","              51,689"
3649,2020.09,스웨덴,"               1,537","              66,799"
3650,2020.10,스웨덴,"               1,566","             104,175"
3651,2020.11,스웨덴,"               2,134","             116,143"
3652,2020.12,스웨덴,"               2,346","             111,178"
3653,2021.01,스웨덴,"               1,528","             151,875"
3654,2021.02,스웨덴,"               1,587","             106,406"
3655,2021.03,스웨덴,"               1,932","             156,501"
3656,2021.04,스웨덴,"               1,910","             120,947"
3657,2021.05,스웨덴,"               1,671","             124,841"
3658,2021.06,스웨덴,"               2,055","             116,511"
3659,2021.07,스웨덴,"               1,846","              93,117"
3660,2021.08,스웨덴,"               1,606","             110,691"
3661,2021.09,스웨덴,"               1,751","             142,824"
3662,2021.10,스웨덴,"               1,781","             160,267"
3663,2021.11,스웨덴,"               1,868","             133,087"
3664,2021.12,스웨덴,"               1,804","             103,390"
3665,2022.01,스웨덴,"               1,634","             124,827"
3666,2022.02,스웨덴,"               1,501","             139,912"
3667,2022.03,스웨덴,"               1,889","             144,779"
3668,2022.04,스웨덴,"               1,866","             141,682"
3669,2022.05,스웨덴,"               1,797","             111,410"
3670,2022.06,스웨덴,"               2,209","             102,720"
3671,2022.07,스웨덴,"               1,555","             115,472"
3672,2020.01,스위스,"               1,170","              30,791"
3673,2020.02,스위스,"               1,277","              50,987"
3674,2020.03,스위스,"               1,201","              50,216"
3675,2020.04,스위스,"               1,024","              39,062"
3676,2020.05,스위스,                 984,"              43,214"
3677,2020.06,스위스,"               1,083","              78,445"
3678,2020.07,스위스,"               1,240","              88,620"
3679,2020.08,스위스,"               1,001","              72,204"
3680,2020.09,스위스,"               1,234","              79,937"
3681,2020.10,스위스,"               1,219","              50,261"
3682,2020.11,스위스,"               1,305","              66,297"
3683,2020.12,스위스,"               1,284","              65,841"
3684,2021.01,스위스,"               1,197","              53,368"
3685,2021.02,스위스,"               1,207","              47,439"
3686,2021.03,스위스,"               1,475","              72,880"
3687,2021.04,스위스,"               1,384","              51,079"
3688,2021.05,스위스,"               1,454","              47,340"
3689,2021.06,스위스,"               1,966","              68,606"
3690,2021.07,스위스,"               1,770","              94,822"
3691,2021.08,스위스,"               1,640","              75,192"
3692,2021.09,스위스,"               1,626","             129,087"
3693,2021.10,스위스,"               1,749","              82,981"
3694,2021.11,스위스,"               1,880","              65,781"
3695,2021.12,스위스,"               1,907","              66,870"
3696,2022.01,스위스,"               1,668","              67,988"
